layer,pos,p2f_train,p2f_test,p2f_auroc,f2p_train,f2p_test,f2p_auroc
5,1,1.0,0.49666666666666665,0.4961333333333333,1.0,0.5566666666666666,0.5858666666666666
5,2,1.0,0.54,0.5439111111111111,1.0,0.58,0.5796888888888889
5,3,1.0,0.5266666666666666,0.5667555555555556,1.0,0.4666666666666667,0.49017777777777777
5,4,1.0,0.5366666666666666,0.6032444444444445,1.0,0.5166666666666667,0.5293777777777777
6,0,1.0,0.57,0.6504444444444445,1.0,0.5433333333333333,0.5269777777777778
6,1,1.0,0.5433333333333333,0.6172888888888889,1.0,0.5566666666666666,0.5962666666666666
6,2,1.0,0.5566666666666666,0.5754222222222222,1.0,0.55,0.5664888888888889
6,3,1.0,0.5633333333333334,0.5754222222222222,1.0,0.53,0.5701333333333334
6,4,1.0,0.5266666666666666,0.5628888888888889,1.0,0.55,0.5431111111111111
7,0,1.0,0.6033333333333334,0.6420444444444444,1.0,0.5133333333333333,0.49093333333333333
7,1,1.0,0.55,0.6104,1.0,0.5733333333333334,0.5838666666666666
7,2,1.0,0.57,0.6230222222222223,1.0,0.5166666666666667,0.5277777777777778
7,3,1.0,0.5666666666666667,0.6189333333333333,1.0,0.5166666666666667,0.5410222222222222
7,4,1.0,0.57,0.5848,1.0,0.5433333333333333,0.5675555555555556
8,0,1.0,0.6866666666666666,0.7335555555555555,1.0,0.5233333333333333,0.5502666666666667
8,1,1.0,0.5733333333333334,0.6194666666666667,1.0,0.5733333333333334,0.5987555555555556
8,2,1.0,0.58,0.6854222222222223,1.0,0.49666666666666665,0.5426222222222222
8,3,1.0,0.5666666666666667,0.6422222222222222,1.0,0.5566666666666666,0.6215111111111111
8,4,1.0,0.5633333333333334,0.6073777777777778,1.0,0.53,0.5556444444444445
9,0,1.0,0.62,0.7727555555555555,1.0,0.55,0.5940444444444445
9,1,1.0,0.5866666666666667,0.6304,1.0,0.5766666666666667,0.6154222222222222
9,2,1.0,0.66,0.7841777777777778,1.0,0.53,0.6097333333333333
9,3,1.0,0.5833333333333334,0.6538666666666667,1.0,0.53,0.5953333333333334
9,4,1.0,0.64,0.6854222222222223,1.0,0.5733333333333334,0.6183111111111111
10,0,1.0,0.5966666666666667,0.6594666666666666,1.0,0.5866666666666667,0.6201777777777778
10,1,1.0,0.6,0.7713333333333333,1.0,0.6133333333333333,0.6281777777777777
10,2,1.0,0.6366666666666667,0.7680444444444444,1.0,0.59,0.6251555555555556
10,3,1.0,0.58,0.6461333333333333,1.0,0.5433333333333333,0.6204
10,4,1.0,0.6433333333333333,0.7070666666666666,1.0,0.5833333333333334,0.6254666666666666
11,0,1.0,0.63,0.7346222222222222,1.0,0.5533333333333333,0.6252
11,1,1.0,0.63,0.8040888888888889,1.0,0.62,0.6695111111111111
11,2,1.0,0.7133333333333334,0.7903111111111111,1.0,0.6133333333333333,0.5756444444444444
11,3,1.0,0.6666666666666666,0.7138666666666666,1.0,0.5533333333333333,0.6331555555555556
11,4,1.0,0.7033333333333334,0.7634666666666666,1.0,0.62,0.6584888888888889
12,0,1.0,0.56,0.6341333333333333,1.0,0.5133333333333333,0.5766222222222223
12,1,1.0,0.6333333333333333,0.7687555555555555,1.0,0.6166666666666667,0.6715555555555556
12,2,1.0,0.7233333333333334,0.7981777777777778,1.0,0.5966666666666667,0.6013333333333334
12,3,1.0,0.6133333333333333,0.6906666666666667,1.0,0.5833333333333334,0.6344
12,4,1.0,0.66,0.7820444444444444,1.0,0.6266666666666667,0.6852
13,0,1.0,0.61,0.6804444444444444,1.0,0.53,0.5865777777777778
13,1,1.0,0.6333333333333333,0.778,1.0,0.5966666666666667,0.6684888888888889
13,2,1.0,0.7133333333333334,0.7975555555555556,1.0,0.5866666666666667,0.5892
13,3,1.0,0.6166666666666667,0.6761333333333334,1.0,0.5866666666666667,0.5966222222222223
13,4,1.0,0.67,0.818,1.0,0.6433333333333333,0.7046666666666667
14,0,1.0,0.5866666666666667,0.7589333333333333,1.0,0.5533333333333333,0.5839555555555556
14,1,1.0,0.6466666666666666,0.7218222222222223,1.0,0.5833333333333334,0.6512
14,2,1.0,0.72,0.8154222222222223,1.0,0.6433333333333333,0.6654666666666667
14,3,1.0,0.6366666666666667,0.7036,1.0,0.5966666666666667,0.6114222222222222
14,4,1.0,0.6233333333333333,0.7903111111111111,1.0,0.6433333333333333,0.6642222222222223
15,0,1.0,0.57,0.6902666666666667,1.0,0.54,0.5668888888888889
15,1,1.0,0.6266666666666667,0.7626222222222222,1.0,0.5933333333333334,0.6615555555555556
15,2,1.0,0.7166666666666667,0.8314666666666667,1.0,0.6533333333333333,0.7007111111111111
15,3,1.0,0.6166666666666667,0.6767555555555556,1.0,0.6033333333333334,0.6169777777777777
15,4,1.0,0.6366666666666667,0.7983555555555556,1.0,0.6533333333333333,0.6723111111111111
16,0,1.0,0.5733333333333334,0.5921333333333333,1.0,0.5166666666666667,0.5862666666666667
16,1,1.0,0.67,0.8407555555555556,1.0,0.6133333333333333,0.6932
16,2,1.0,0.71,0.8197333333333333,1.0,0.6633333333333333,0.6993777777777778
16,3,1.0,0.6333333333333333,0.6592,1.0,0.6133333333333333,0.6244444444444445
16,4,1.0,0.6966666666666667,0.8510222222222222,1.0,0.6533333333333333,0.6705333333333333
17,0,1.0,0.5666666666666667,0.5389777777777778,1.0,0.5533333333333333,0.6004444444444444
17,1,1.0,0.6366666666666667,0.7308888888888889,1.0,0.6033333333333334,0.6690222222222222
17,2,1.0,0.71,0.8123111111111111,1.0,0.68,0.7266666666666667
17,3,1.0,0.63,0.7069333333333333,1.0,0.5666666666666667,0.6273777777777778
17,4,1.0,0.7333333333333333,0.894,1.0,0.6766666666666666,0.6920444444444445
18,0,1.0,0.6033333333333334,0.6876,1.0,0.5633333333333334,0.6247111111111111
18,1,1.0,0.6866666666666666,0.7718222222222222,1.0,0.6266666666666667,0.6901333333333334
18,2,1.0,0.7666666666666667,0.8698666666666667,1.0,0.7033333333333334,0.8087111111111112
18,3,1.0,0.68,0.744,1.0,0.6333333333333333,0.7177777777777777
18,4,1.0,0.7633333333333333,0.8889333333333334,1.0,0.7333333333333333,0.8072
19,0,1.0,0.62,0.7497333333333334,1.0,0.6033333333333334,0.6719555555555555
19,1,1.0,0.6533333333333333,0.7758666666666667,1.0,0.6333333333333333,0.6975111111111111
19,2,1.0,0.7733333333333333,0.8675111111111111,1.0,0.7033333333333334,0.8003555555555556
19,3,1.0,0.6733333333333333,0.7404444444444445,1.0,0.6666666666666666,0.7601777777777777
19,4,1.0,0.76,0.8788,1.0,0.7466666666666667,0.8185777777777777
20,0,1.0,0.5966666666666667,0.7022222222222222,1.0,0.5933333333333334,0.6549333333333334
20,1,1.0,0.6433333333333333,0.7559555555555556,1.0,0.6466666666666666,0.7105777777777778
20,2,1.0,0.7433333333333333,0.8211111111111111,1.0,0.66,0.7524
20,3,1.0,0.69,0.76,1.0,0.7033333333333334,0.7719111111111111
20,4,1.0,0.7833333333333333,0.8786666666666667,1.0,0.7433333333333333,0.8072444444444444
21,0,1.0,0.58,0.6755555555555556,1.0,0.5666666666666667,0.6192
21,1,1.0,0.6066666666666667,0.7378666666666667,1.0,0.64,0.7282222222222222
21,2,1.0,0.71,0.8104,1.0,0.7066666666666667,0.7768
21,3,1.0,0.6766666666666666,0.7416888888888888,1.0,0.7066666666666667,0.7820888888888888
21,4,1.0,0.78,0.8706666666666667,1.0,0.72,0.7928444444444445
22,0,1.0,0.5766666666666667,0.6847555555555556,1.0,0.6,0.6488444444444444
22,1,1.0,0.58,0.6877777777777778,1.0,0.6233333333333333,0.6838222222222222
