layer,pos,p2f_train,p2f_test,p2f_auroc,f2p_train,f2p_test,f2p_auroc
35,0,1.0,0.66,0.7948444444444445,1.0,0.6166666666666667,0.6525333333333333
35,1,1.0,0.79,0.922,1.0,0.7666666666666667,0.8417333333333333
35,2,1.0,0.8733333333333333,0.9424444444444444,1.0,0.6233333333333333,0.7996
35,3,1.0,0.81,0.9201333333333334,1.0,0.7233333333333334,0.9292
35,4,1.0,0.6866666666666666,0.9289333333333334,1.0,0.5466666666666666,0.9329333333333333
36,0,1.0,0.6766666666666666,0.8266222222222223,1.0,0.6166666666666667,0.6541777777777777
36,1,1.0,0.7933333333333333,0.9151555555555556,1.0,0.7433333333333333,0.8435111111111111
36,2,1.0,0.8566666666666667,0.9374666666666667,1.0,0.6566666666666666,0.7946222222222222
36,3,1.0,0.8033333333333333,0.9075111111111112,1.0,0.7166666666666667,0.9299111111111111
36,4,1.0,0.6966666666666667,0.9398,1.0,0.5366666666666666,0.9403777777777778
37,0,1.0,0.6733333333333333,0.8220444444444445,1.0,0.6166666666666667,0.6481777777777777
37,1,1.0,0.8,0.9109777777777778,1.0,0.75,0.8392444444444445
37,2,1.0,0.86,0.9489777777777778,1.0,0.6333333333333333,0.8105777777777777
37,3,1.0,0.8,0.9,1.0,0.73,0.9303777777777777
37,4,1.0,0.6966666666666667,0.9359111111111111,1.0,0.5433333333333333,0.9403555555555555
38,0,1.0,0.6833333333333333,0.8437777777777777,1.0,0.63,0.6652888888888889
38,1,1.0,0.8,0.9099111111111111,1.0,0.7366666666666667,0.8423111111111111
38,2,1.0,0.88,0.9638222222222222,1.0,0.6433333333333333,0.8291111111111111
38,3,1.0,0.8,0.9073333333333333,1.0,0.6833333333333333,0.9166666666666666
38,4,1.0,0.7033333333333334,0.9400666666666667,1.0,0.58,0.9441777777777778
39,0,1.0,0.7033333333333334,0.8524888888888889,1.0,0.63,0.6586222222222222
39,1,1.0,0.8233333333333334,0.9178666666666667,1.0,0.7633333333333333,0.8390222222222222
39,2,1.0,0.8733333333333333,0.9548444444444445,1.0,0.5966666666666667,0.7861777777777778
39,3,1.0,0.79,0.9088444444444445,1.0,0.67,0.9135777777777778
39,4,1.0,0.6933333333333334,0.9374222222222223,1.0,0.55,0.9433777777777778
40,0,1.0,0.7066666666666667,0.8498666666666667,1.0,0.63,0.6672888888888889
40,1,1.0,0.8366666666666667,0.9184,1.0,0.7566666666666667,0.8312888888888889
40,2,1.0,0.8633333333333333,0.9486222222222223,1.0,0.6366666666666667,0.7807111111111111
40,3,1.0,0.7866666666666666,0.8995555555555556,1.0,0.65,0.9120888888888888
40,4,1.0,0.6933333333333334,0.9426888888888889,1.0,0.57,0.9470888888888889
41,0,1.0,0.6933333333333334,0.8514666666666667,1.0,0.6466666666666666,0.6665333333333333
41,1,1.0,0.8433333333333334,0.9365777777777777,1.0,0.76,0.8392
41,2,1.0,0.87,0.9422222222222222,1.0,0.6633333333333333,0.7860444444444444
41,3,1.0,0.8066666666666666,0.9107555555555555,1.0,0.65,0.9108888888888889
41,4,1.0,0.6933333333333334,0.9470666666666666,1.0,0.57,0.9500444444444445
