layer,direction,auroc_full,auroc_ablated,auroc_random,drop,drop_specific
20,p2f,0.9326222222222222,0.6448888888888888,0.9330222222222222,0.2877333333333334,0.28813333333333335
20,f2p,0.8982666666666667,0.262,0.8980444444444444,0.6362666666666666,0.6360444444444444
21,p2f,0.9497333333333333,0.35013333333333335,0.9496888888888889,0.5995999999999999,0.5995555555555555
21,f2p,0.9333333333333333,0.6398222222222222,0.9332222222222222,0.29351111111111117,0.2934
22,p2f,0.9484444444444444,0.6243111111111111,0.9484,0.3241333333333333,0.32408888888888887
22,f2p,0.9468444444444445,0.6990222222222222,0.9469333333333333,0.24782222222222228,0.24791111111111108
23,p2f,0.9669777777777778,0.49506666666666665,0.9668888888888889,0.47191111111111117,0.47182222222222225
23,f2p,0.9589777777777778,0.7167111111111111,0.9589333333333333,0.24226666666666674,0.24222222222222223
24,p2f,0.9579555555555556,0.648,0.9578666666666666,0.30995555555555554,0.3098666666666666
24,f2p,0.9630222222222222,0.7138666666666666,0.9630222222222222,0.24915555555555557,0.24915555555555557
25,p2f,0.9620888888888889,0.3868,0.9620888888888889,0.575288888888889,0.575288888888889
25,f2p,0.9700888888888889,0.2436,0.9700888888888889,0.7264888888888889,0.7264888888888889
26,p2f,0.9627111111111111,0.5435555555555556,0.9627555555555556,0.4191555555555555,0.4192
26,f2p,0.9684222222222222,0.2200888888888889,0.9684666666666667,0.7483333333333333,0.7483777777777778
27,p2f,0.9570222222222222,0.5750666666666666,0.9569777777777778,0.3819555555555556,0.3819111111111112
27,f2p,0.9441777777777778,0.7777333333333334,0.9471111111111111,0.1664444444444444,0.16937777777777774
28,p2f,0.9428444444444445,0.6402222222222222,0.9427333333333333,0.30262222222222224,0.30251111111111106
28,f2p,0.9458222222222222,0.7326222222222222,0.9458666666666666,0.21320000000000006,0.21324444444444446
29,p2f,0.9068,0.3184888888888889,0.9070222222222222,0.5883111111111112,0.5885333333333334
29,f2p,0.9411111111111111,0.7091111111111111,0.9409333333333333,0.23199999999999998,0.23182222222222215
30,p2f,0.9171111111111111,0.3469333333333333,0.9172444444444444,0.5701777777777778,0.5703111111111111
30,f2p,0.9476666666666667,0.27815555555555554,0.9477111111111111,0.6695111111111112,0.6695555555555556
31,p2f,0.9040444444444444,0.7088444444444445,0.9041333333333333,0.19519999999999993,0.19528888888888885
31,f2p,0.9355333333333333,0.6869111111111111,0.9355333333333333,0.2486222222222222,0.2486222222222222
32,p2f,0.9227555555555556,0.2624444444444444,0.9228,0.6603111111111111,0.6603555555555555
32,f2p,0.9340222222222222,0.7220444444444445,0.9309777777777778,0.2119777777777777,0.2089333333333333
33,p2f,0.9241777777777778,0.2857777777777778,0.9241333333333334,0.6384,0.6383555555555556
33,f2p,0.9495555555555556,0.28073333333333333,0.9495111111111111,0.6688222222222222,0.6687777777777777
34,p2f,0.9260444444444444,0.6973333333333334,0.9262666666666667,0.2287111111111111,0.22893333333333332
34,f2p,0.9287111111111112,0.7108888888888889,0.9287111111111112,0.21782222222222225,0.21782222222222225
35,p2f,0.9294666666666667,0.7100888888888889,0.9293333333333333,0.21937777777777778,0.21924444444444446
35,f2p,0.9331555555555555,0.7217777777777777,0.9331555555555555,0.21137777777777778,0.21137777777777778
36,p2f,0.9390888888888889,0.7386222222222222,0.9391555555555555,0.20046666666666668,0.20053333333333334
36,f2p,0.9402666666666667,0.6583111111111111,0.9404,0.2819555555555556,0.28208888888888894
37,p2f,0.9355555555555556,0.7387555555555556,0.9356444444444444,0.19679999999999997,0.19688888888888878
37,f2p,0.9407111111111112,0.7315111111111111,0.9407555555555556,0.20920000000000005,0.20924444444444446
38,p2f,0.9409333333333333,0.7175555555555555,0.9408444444444445,0.2233777777777778,0.22328888888888898
38,f2p,0.9440888888888889,0.3234444444444444,0.9442222222222222,0.6206444444444444,0.6207777777777778
39,p2f,0.9380444444444445,0.716,0.9380444444444445,0.2220444444444445,0.2220444444444445
39,f2p,0.9408666666666666,0.3279111111111111,0.9408222222222222,0.6129555555555555,0.6129111111111111
40,p2f,0.943,0.2835111111111111,0.9428444444444445,0.6594888888888888,0.6593333333333333
40,f2p,0.9472666666666667,0.24433333333333335,0.9472666666666667,0.7029333333333334,0.7029333333333334
41,p2f,0.9464,0.7056444444444444,0.9466222222222223,0.2407555555555556,0.24097777777777785
41,f2p,0.9504,0.7602,0.9504444444444444,0.19020000000000004,0.19024444444444444
