layer,pos,p2f_train,p2f_test,p2f_auroc,f2p_train,f2p_test,f2p_auroc
11,4,1.0,0.53,0.6075555555555555,1.0,0.5533333333333333,0.6013777777777778
12,0,1.0,0.5633333333333334,0.6097333333333333,1.0,0.5266666666666666,0.5999111111111111
12,1,1.0,0.6033333333333334,0.7244888888888888,1.0,0.62,0.6666666666666666
12,2,1.0,0.7133333333333334,0.7806666666666666,1.0,0.5966666666666667,0.5904444444444444
12,3,1.0,0.5933333333333334,0.6560888888888889,1.0,0.5466666666666666,0.6320444444444444
12,4,1.0,0.5366666666666666,0.6811111111111111,1.0,0.5333333333333333,0.6450666666666667
13,0,1.0,0.6233333333333333,0.6477333333333334,1.0,0.5433333333333333,0.6123555555555555
13,1,1.0,0.65,0.8077333333333333,1.0,0.6366666666666667,0.6841777777777778
13,2,1.0,0.71,0.7884444444444444,1.0,0.63,0.6015555555555555
13,3,1.0,0.6333333333333333,0.6872,1.0,0.57,0.6371555555555556
13,4,1.0,0.5666666666666667,0.8124888888888889,1.0,0.6366666666666667,0.7072888888888889
14,0,1.0,0.6166666666666667,0.6857777777777778,1.0,0.59,0.6218222222222223
14,1,1.0,0.6466666666666666,0.7983555555555556,1.0,0.64,0.6701333333333334
14,2,1.0,0.7266666666666667,0.8196444444444444,1.0,0.6833333333333333,0.6781333333333334
14,3,1.0,0.6166666666666667,0.7115555555555556,1.0,0.6466666666666666,0.6671555555555555
14,4,1.0,0.63,0.8181777777777778,1.0,0.6333333333333333,0.6841777777777778
15,0,1.0,0.5766666666666667,0.6224,1.0,0.54,0.5819111111111112
15,1,1.0,0.6333333333333333,0.81,1.0,0.62,0.6543555555555556
15,2,1.0,0.75,0.8411111111111111,1.0,0.6733333333333333,0.7108888888888889
15,3,1.0,0.64,0.7551111111111111,1.0,0.64,0.6794222222222223
15,4,1.0,0.65,0.7863555555555556,1.0,0.6633333333333333,0.7384888888888889
16,0,1.0,0.5666666666666667,0.5470666666666667,1.0,0.5833333333333334,0.6069777777777777
16,1,1.0,0.6533333333333333,0.8475111111111111,1.0,0.6366666666666667,0.6906666666666667
16,2,1.0,0.7433333333333333,0.8351555555555555,1.0,0.68,0.7267555555555556
16,3,1.0,0.6666666666666666,0.7648888888888888,1.0,0.64,0.6964888888888889
16,4,1.0,0.72,0.8330666666666666,1.0,0.6833333333333333,0.7642666666666666
17,0,1.0,0.5766666666666667,0.5481333333333334,1.0,0.5633333333333334,0.6152
17,1,1.0,0.63,0.7851111111111111,1.0,0.65,0.6923555555555555
17,2,1.0,0.77,0.8521777777777778,1.0,0.71,0.7656
17,3,1.0,0.6666666666666666,0.7808,1.0,0.63,0.7017333333333333
17,4,1.0,0.7233333333333334,0.8345333333333333,1.0,0.7133333333333334,0.7799111111111111
18,0,1.0,0.5833333333333334,0.6104444444444445,1.0,0.6,0.6483555555555556
18,1,1.0,0.6366666666666667,0.8548,1.0,0.67,0.7419555555555556
18,2,1.0,0.8333333333333334,0.9226222222222222,1.0,0.73,0.8296
18,3,1.0,0.65,0.7719111111111111,1.0,0.67,0.7816888888888889
18,4,1.0,0.7866666666666666,0.9307111111111112,1.0,0.8233333333333334,0.8815111111111111
19,0,1.0,0.6033333333333334,0.7072444444444445,1.0,0.5933333333333334,0.6544
19,1,1.0,0.6233333333333333,0.8056444444444445,1.0,0.6733333333333333,0.7303111111111111
19,2,1.0,0.85,0.938,1.0,0.7566666666666667,0.8504
19,3,1.0,0.6566666666666666,0.8061333333333334,1.0,0.7,0.8024444444444444
19,4,1.0,0.8066666666666666,0.9488888888888889,1.0,0.82,0.8794222222222222
20,0,1.0,0.5866666666666667,0.6492888888888889,1.0,0.59,0.6627111111111111
20,1,1.0,0.6,0.7835555555555556,1.0,0.68,0.7304888888888889
20,2,1.0,0.8,0.9278222222222222,1.0,0.74,0.8059111111111111
20,3,1.0,0.65,0.8284888888888889,1.0,0.7066666666666667,0.8051555555555555
20,4,1.0,0.7533333333333333,0.9366222222222222,1.0,0.7933333333333333,0.8566222222222222
21,0,1.0,0.5733333333333334,0.7213777777777778,1.0,0.6,0.6587555555555555
21,1,1.0,0.5933333333333334,0.8164444444444444,1.0,0.6433333333333333,0.7392444444444445
21,2,1.0,0.76,0.8973777777777778,1.0,0.7366666666666667,0.7832444444444444
