layer,pos,p2f_train,p2f_test,p2f_auroc,f2p_train,f2p_test,f2p_auroc
14,2,1.0,0.8866666666666667,0.9657333333333333,1.0,0.7233333333333334,0.8356888888888889
14,3,1.0,0.8133333333333334,0.9151111111111111,1.0,0.71,0.7724444444444445
14,4,1.0,0.7533333333333333,0.9179555555555555,1.0,0.7233333333333334,0.8691111111111111
15,0,1.0,0.57,0.7015555555555556,1.0,0.5533333333333333,0.5751111111111111
15,1,1.0,0.63,0.6843555555555556,1.0,0.6133333333333333,0.6425333333333333
15,2,1.0,0.8766666666666667,0.9596,1.0,0.6866666666666666,0.8339555555555556
15,3,1.0,0.77,0.9063111111111111,1.0,0.72,0.7848888888888889
15,4,1.0,0.7733333333333333,0.8974666666666666,1.0,0.66,0.8728
16,0,1.0,0.5666666666666667,0.5897333333333333,1.0,0.5566666666666666,0.5544888888888889
16,1,1.0,0.6233333333333333,0.6900888888888889,1.0,0.6033333333333334,0.6425333333333333
16,2,1.0,0.88,0.9602666666666667,1.0,0.7033333333333334,0.8435555555555555
16,3,1.0,0.7533333333333333,0.9076888888888889,1.0,0.74,0.8218222222222222
16,4,1.0,0.76,0.8917333333333334,1.0,0.6633333333333333,0.8901777777777777
17,0,1.0,0.57,0.6151111111111112,1.0,0.5666666666666667,0.5889777777777778
17,1,1.0,0.6166666666666667,0.7,1.0,0.6,0.6478666666666667
17,2,1.0,0.8833333333333333,0.9557777777777777,1.0,0.6866666666666666,0.8238666666666666
17,3,1.0,0.74,0.8916,1.0,0.7766666666666666,0.8488
17,4,1.0,0.7733333333333333,0.9020444444444444,1.0,0.7033333333333334,0.9007111111111111
18,0,1.0,0.56,0.5877777777777777,1.0,0.5133333333333333,0.5558222222222222
18,1,1.0,0.5833333333333334,0.7068,1.0,0.5866666666666667,0.6268888888888889
18,2,1.0,0.8966666666666666,0.9647111111111111,1.0,0.68,0.83
18,3,1.0,0.7533333333333333,0.8835111111111111,1.0,0.7666666666666667,0.8501333333333333
18,4,1.0,0.7266666666666667,0.8969333333333334,1.0,0.74,0.9100444444444444
19,0,1.0,0.5533333333333333,0.5129333333333334,1.0,0.5333333333333333,0.5641333333333334
19,1,1.0,0.6,0.6723111111111111,1.0,0.5833333333333334,0.6302222222222222
19,2,1.0,0.8866666666666667,0.9627111111111111,1.0,0.67,0.8173333333333334
19,3,1.0,0.7666666666666667,0.8986666666666666,1.0,0.7766666666666666,0.8567111111111111
19,4,1.0,0.7466666666666667,0.9107111111111111,1.0,0.7533333333333333,0.9108
20,0,1.0,0.5333333333333333,0.5053333333333333,1.0,0.5166666666666667,0.5344888888888889
20,1,1.0,0.6,0.6682666666666667,1.0,0.5733333333333334,0.6089777777777777
20,2,1.0,0.8933333333333333,0.9632444444444445,1.0,0.67,0.8120888888888889
20,3,1.0,0.7233333333333334,0.8978666666666667,1.0,0.77,0.8496444444444444
20,4,1.0,0.7366666666666667,0.8996444444444445,1.0,0.7433333333333333,0.8937777777777778
21,0,1.0,0.5133333333333333,0.5500888888888888,1.0,0.49333333333333335,0.5051111111111111
21,1,1.0,0.5833333333333334,0.7257333333333333,1.0,0.5466666666666666,0.6060888888888889
21,2,1.0,0.9,0.9676,1.0,0.6633333333333333,0.8155555555555556
21,3,1.0,0.72,0.9003555555555556,1.0,0.77,0.8479111111111111
21,4,1.0,0.7866666666666666,0.9106222222222222,1.0,0.7533333333333333,0.8838222222222222
22,0,1.0,0.52,0.5699111111111111,1.0,0.5,0.5114666666666666
22,1,1.0,0.5966666666666667,0.7227555555555556,1.0,0.53,0.5882666666666667
22,2,1.0,0.9033333333333333,0.9754666666666667,1.0,0.6633333333333333,0.8070666666666667
22,3,1.0,0.71,0.9016444444444445,1.0,0.7733333333333333,0.8511111111111112
22,4,1.0,0.7966666666666666,0.9098222222222222,1.0,0.7566666666666667,0.8788
23,0,1.0,0.5166666666666667,0.5903111111111111,1.0,0.45,0.4928888888888889
23,1,1.0,0.6133333333333333,0.7952888888888889,1.0,0.5666666666666667,0.5864444444444444
23,2,1.0,0.8933333333333333,0.9645777777777778,1.0,0.6766666666666666,0.7871555555555556
23,3,1.0,0.7533333333333333,0.9151555555555556,1.0,0.7533333333333333,0.8462222222222222
23,4,1.0,0.7966666666666666,0.9087111111111111,1.0,0.7666666666666667,0.8797333333333334
24,0,1.0,0.53,0.5567111111111112,1.0,0.46,0.4838222222222222
24,1,1.0,0.6533333333333333,0.8397333333333333,1.0,0.5633333333333334,0.5959555555555556
24,2,1.0,0.8833333333333333,0.9624888888888888,1.0,0.69,0.7911111111111111
24,3,1.0,0.7433333333333333,0.9027555555555555,1.0,0.7533333333333333,0.8407111111111111
24,4,1.0,0.7733333333333333,0.8967555555555555,1.0,0.78,0.8758666666666667
25,0,1.0,0.5466666666666666,0.5887555555555556,1.0,0.49333333333333335,0.5125333333333333
25,1,1.0,0.6566666666666666,0.8473777777777778,1.0,0.56,0.5990222222222222
25,2,1.0,0.89,0.9651555555555555,1.0,0.6766666666666666,0.7678666666666667
25,3,1.0,0.7566666666666667,0.9144444444444444,1.0,0.7133333333333334,0.8252888888888888
25,4,1.0,0.79,0.8960888888888889,1.0,0.7766666666666666,0.8772
26,0,1.0,0.54,0.5111555555555556,1.0,0.4766666666666667,0.5159111111111111
26,1,1.0,0.6866666666666666,0.8653333333333333,1.0,0.5566666666666666,0.6020444444444445
