layer,pos,p2f_train,p2f_test,p2f_auroc,f2p_train,f2p_test,f2p_auroc
10,2,1.0,0.7533333333333333,0.8747555555555555,1.0,0.5666666666666667,0.64
10,3,1.0,0.57,0.5990222222222222,1.0,0.5766666666666667,0.6015555555555555
10,4,1.0,0.49666666666666665,0.5291555555555556,1.0,0.5733333333333334,0.6035111111111111
11,0,1.0,0.56,0.5837777777777777,1.0,0.5266666666666666,0.5946222222222223
11,1,1.0,0.58,0.6805333333333333,1.0,0.57,0.6291555555555556
11,2,1.0,0.7466666666666667,0.8611555555555556,1.0,0.5866666666666667,0.6280444444444444
11,3,1.0,0.5133333333333333,0.5482666666666667,1.0,0.5566666666666666,0.582
11,4,1.0,0.49333333333333335,0.5398222222222222,1.0,0.52,0.5502666666666667
12,0,1.0,0.5533333333333333,0.5942666666666667,1.0,0.52,0.5956888888888889
12,1,1.0,0.6066666666666667,0.7625333333333333,1.0,0.5866666666666667,0.6642222222222223
12,2,1.0,0.8333333333333334,0.9289333333333334,1.0,0.6533333333333333,0.7131555555555555
12,3,1.0,0.5433333333333333,0.5768,1.0,0.5933333333333334,0.5844888888888888
12,4,1.0,0.57,0.5974666666666667,1.0,0.5233333333333333,0.5524
13,0,1.0,0.5633333333333334,0.6428444444444444,1.0,0.5233333333333333,0.6088
13,1,1.0,0.6533333333333333,0.8158666666666666,1.0,0.58,0.6730666666666667
13,2,1.0,0.8066666666666666,0.9160444444444444,1.0,0.62,0.6911555555555555
13,3,1.0,0.5433333333333333,0.5777333333333333,1.0,0.6166666666666667,0.6035111111111111
13,4,1.0,0.6166666666666667,0.6700888888888888,1.0,0.6066666666666667,0.6481777777777777
14,0,1.0,0.5933333333333334,0.6999111111111112,1.0,0.5,0.5910222222222222
14,1,1.0,0.6166666666666667,0.7354666666666667,1.0,0.5766666666666667,0.6553333333333333
14,2,1.0,0.8033333333333333,0.9124888888888889,1.0,0.6333333333333333,0.6846666666666666
14,3,1.0,0.5566666666666666,0.5824,1.0,0.6333333333333333,0.6444
14,4,1.0,0.6833333333333333,0.7657777777777778,1.0,0.6333333333333333,0.7028444444444445
